YEAR  CanESM5  CNRM-ESM2-1  IPSL-CM6A-LR  UKESM1-0-LL 
1927.00 286.8010 286.8570 286.1800 286.5660      
1928.00 286.8160 286.9180 286.2130 286.5320      
1929.00 286.7830 286.8520 286.1560 286.4730      
1930.00 286.7670 286.8270 286.1590 286.5690      
1931.00 286.7760 286.9140 286.1880 286.5290      
1932.00 286.8150 286.8120 286.1940 286.5260      
1933.00 286.8040 286.7950 286.1830 286.5570      
1934.00 286.7840 286.8180 286.1860 286.5490      
1935.00 286.7980 286.7250 286.1880 286.5210      
1936.00 286.7920 286.8430 286.2080 286.5500      
1937.00 286.8440 286.7810 286.2100 286.5670      
1938.00 286.8670 286.8680 286.2120 286.5670      
1939.00 286.8860 286.7400 286.2190 286.5930      
1940.00 286.8820 286.8190 286.2160 286.5630      
1941.00 286.8750 286.8160 286.2330 286.5490      
1942.00 286.8830 286.7990 286.2250 286.5440      
1943.00 286.8670 286.7420 286.2330 286.5560      
1944.00 286.8780 286.8330 286.2420 286.6140      
1945.00 286.8390 286.7950 286.2370 286.6150      
1946.00 286.8720 286.7680 286.2390 286.6220      
1947.00 286.8880 286.8260 286.2870 286.5930      
1948.00 286.8680 286.8340 286.3340 286.5960      
1949.00 286.8830 286.8400 286.3100 286.5630      
1950.00 286.9360 286.7790 286.3250 286.5710      
1951.00 286.8980 286.7390 286.2900 286.6120      
1952.00 286.8670 286.7500 286.2810 286.6220      
1953.00 286.8680 286.7140 286.2840 286.5460      
1954.00 286.8790 286.7740 286.2690 286.5850      
1955.00 286.8790 286.8280 286.3130 286.5370      
1956.00 286.8710 286.7480 286.3090 286.5200      
1957.00 286.8990 286.8760 286.3610 286.5470      
1958.00 286.9140 286.8850 286.3470 286.5770      
1959.00 286.9410 286.8330 286.3130 286.5390      
1960.00 286.9230 286.8270 286.3500 286.5270      
1961.00 286.9340 286.9020 286.3340 286.4810      
1962.00 286.8990 286.8160 286.3100 286.4980      
1963.00 286.8100 286.7650 286.2730 286.4220      
1964.00 286.7390 286.7150 286.1620 286.3040      
1965.00 286.7630 286.7500 286.1840 286.3110      
1966.00 286.7510 286.8300 286.2710 286.3500      
1967.00 286.7020 286.8370 286.3310 286.3110      
1968.00 286.7770 286.8150 286.3190 286.2810      
1969.00 286.8090 286.8900 286.3300 286.2920      
1970.00 286.8270 286.8080 286.3330 286.3340      
1971.00 286.8380 286.8290 286.3200 286.3640      
1972.00 286.8130 286.8070 286.3630 286.3840      
1973.00 286.8570 286.8090 286.3810 286.3540      
1974.00 286.9140 286.8750 286.3790 286.3750      
1975.00 286.8600 286.8090 286.3510 286.3450      
1976.00 286.8690 286.8790 286.3640 286.3430      
1977.00 286.8980 286.9530 286.3650 286.3770      
1978.00 286.9690 286.9370 286.4000 286.4130      
1979.00 287.0030 286.8910 286.4520 286.4860      
1980.00 287.0660 286.9480 286.4910 286.5130      
1981.00 287.0740 286.9510 286.5020 286.5200      
1982.00 287.0620 286.9600 286.5240 286.5330      
1983.00 286.9840 286.8960 286.4050 286.4590      
1984.00 287.0770 286.9200 286.4650 286.5150      
1985.00 287.1500 286.9540 286.5070 286.5040      
1986.00 287.1500 287.0720 286.5530 286.5510      
1987.00 287.1690 287.0350 286.5820 286.5280      
1988.00 287.2150 287.0520 286.6350 286.6220      
1989.00 287.3190 287.1240 286.7280 286.6950      
1990.00 287.3650 287.1380 286.7030 286.7230      
1991.00 287.3820 287.0450 286.6640 286.6820      
1992.00 287.1430 287.0300 286.4930 286.4470      
1993.00 287.1750 287.0410 286.5410 286.4930      
1994.00 287.2450 287.0560 286.5740 286.5720      
1995.00 287.3640 287.0480 286.6360 286.6630      
1996.00 287.4280 287.1980 286.7230 286.7770      
1997.00 287.4350 287.1530 286.8090 286.8500      
1998.00 287.5040 287.1570 286.8040 286.9380      
1999.00 287.6260 287.2350 286.8660 286.9680      
2000.00 287.7060 287.2770 286.9390 287.0370      
2001.00 287.7850 287.2990 286.9620 287.0750      
2002.00 287.8540 287.2340 286.9440 287.1280      
2003.00 287.8920 287.3130 286.9820 287.1710      
2004.00 287.8940 287.3360 287.0160 287.1790      
2005.00 287.8660 287.3370 287.0430 287.1770      
2006.00 287.8980 287.3540 287.0680 287.1930      
2007.00 287.8990 287.4420 287.0560 287.2600      
2008.00 287.9720 287.4670 287.0790 287.3040      
2009.00 288.0220 287.4340 287.1510 287.3070      
2010.00 288.0800 287.4480 287.1670 287.3820      
2011.00 288.1290 287.4900 287.2100 287.4610      
2012.00 288.1810 287.5010 287.1870 287.4640      
2013.00 288.2280 287.5530 287.2270 287.5270      
2014.00 288.2900 287.4630 287.2760 287.5980      
2015.00 288.4350 287.5800 287.3380 287.6860      
2016.00 288.4440 287.6730 287.3540 287.6940      
2017.00 288.4820 287.6040 287.3950 287.6710      
2018.00 288.5470 287.6310 287.4720 287.7100      
2019.00 288.5670 287.7750 287.3610 287.7450      
2020.00 288.6930 287.7180 287.4910 287.8060      
2021.00 288.7510 287.7640 287.3540 287.9170      
2022.00 288.8190 287.8310 287.5170 287.9370      
2023.00 288.9650 287.8120 287.7910 288.0720      
2024.00 288.8980 287.8780 287.8890 288.1000      
2025.00 288.8300 287.9160 287.7810 288.1370      
2026.00 288.9430 288.0030 287.7740 288.1910      
2027.00 289.0050 287.9580 287.8510 288.2580      
2028.00 288.9930 287.9850 287.9120 288.3390      
2029.00 288.9920 288.0530 287.5610 288.4160      
2030.00 289.0380 288.0340 287.7160 288.4240      
2031.00 289.1120 287.9730 287.7770 288.4640      
2032.00 289.1730 288.0800 287.9950 288.5780      
2033.00 289.1600 288.0880 287.8330 288.5630      
2034.00 289.1440 288.1680 287.8190 288.5760      
2035.00 289.3010 288.2580 287.7960 288.5960      
2036.00 289.3240 288.1850 288.2090 288.7620      
2037.00 289.3660 288.2030 288.1180 288.7760      
2038.00 289.4300 288.3230 288.0310 288.6950      
2039.00 289.5120 288.2680 288.0410 288.7620      
2040.00 289.4750 288.2760 288.2510 288.8610      
2041.00 289.4120 288.2770 288.3640 288.8740      
2042.00 289.4940 288.3010 288.2570 288.9670      
2043.00 289.5580 288.3030 288.2610 289.0050      
2044.00 289.6100 288.3790 288.0760 288.9580      
2045.00 289.5790 288.3720 288.4030 288.9730      
2046.00 289.6600 288.4360 288.3330 289.0260      
2047.00 289.6570 288.4600 288.4520 289.0700      
2048.00 289.7350 288.5350 288.2600 289.1600      
2049.00 289.7780 288.4910 288.2180 289.1950      
2050.00 289.8320 288.5320 288.2430 289.2310      
2051.00 289.8790 288.5910 288.4830 289.2990      
2052.00 289.8850 288.6070 288.5540 289.3220      
2053.00 289.9350 288.6490 288.2910 289.3130      
2054.00 289.9300 288.5940 288.4430 289.3610      
2055.00 289.9380 288.6480 288.6600 289.3870      
2056.00 289.8890 288.6180 288.4150 289.4150      
2057.00 289.9540 288.5910 288.4600 289.3840      
2058.00 290.0300 288.6950 288.5210 289.4070      
2059.00 290.1230 288.7610 288.5260 289.6060      
2060.00 289.9970 288.7810 288.5360 289.6150      
2061.00 290.0350 288.7060 288.4860 289.5540      
2062.00 290.0780 288.8440 288.5270 289.5620      
2063.00 290.0490 288.7970 288.3490 289.6370      
2064.00 290.1460 288.7190 288.4210 289.5760      
2065.00 290.1530 288.8440 288.3570 289.5910      
2066.00 290.1830 288.8100 288.4890 289.7010      
2067.00 290.2460 288.8220 288.6600 289.7420      
2068.00 290.2090 288.8570 288.4830 289.7810      
2069.00 290.2240 288.8950 288.6650 289.7770      
2070.00 290.2040 288.8320 288.8190 289.8110      
2071.00 290.2320 288.9100 288.6050 289.8370      
2072.00 290.2720 288.9630 288.5660 289.8930      
2073.00 290.3830 288.9580 288.7720 289.8560      
2074.00 290.3410 288.9510 288.7970 289.8750      
2075.00 290.3210 289.0650 288.8490 289.9010      
2076.00 290.3370 289.0350 288.5980 289.8740      
2077.00 290.3620 289.0400 288.7840 289.9050      
2078.00 290.4660 289.0410 288.7110 290.0400      
2079.00 290.4040 289.0920 288.9050 289.9940      
2080.00 290.3460 289.0500 288.9290 289.9810      
2081.00 290.3440 289.0480 288.7050 290.0310      
2082.00 290.3620 289.1080 288.8120 290.0820      
2083.00 290.3980 289.1890 288.8470 290.1060      
2084.00 290.3860 289.1850 288.8070 290.1290      
2085.00 290.4550 289.1650 288.6350 290.1180      
2086.00 290.5080 289.1350 288.7520 290.0630      
2087.00 290.4730 289.1540 288.8480 290.1270      
2088.00 290.4380 289.1100 289.0700 290.1680      
2089.00 290.4120 289.2260 289.0390 290.0700      
2090.00 290.4780 289.2000 288.7100 290.0820      
2091.00 290.5410 289.1330 288.8660 290.0790      
2092.00 290.5440 289.2290 288.9710 290.1700      
2093.00 290.4940 289.2540 289.0060 290.1220      
2094.00 290.5190 289.2620 288.9720 290.1310      
2095.00 290.4650 289.3060 288.7750 290.1360      
2096.00 290.3890 289.2640 288.8490 290.1080      
2097.00 290.4490 289.2830 289.0320 290.1420      
2098.00 290.5220 289.2600 288.8130 290.2330      
2099.00 290.4730 289.2660 288.8410 290.1800      
2100.00 290.3910 289.2600 288.9410 290.0910      
